EV_D0	EV_D1	EV_D3	EV_D5	EV_D7	EV_D9	EV_D11	EV_D12	EV_D14	EV_D16	EV_D18	EV_D20	EV_D22	EV_D24	EV_D26	EV_D28	EV_D30
"x45"	-0.084624118234733	-0.28220177199158	-0.21393976585882	-0.331036439805669	-0.217596713752499	2.114212287907	-0.0761035441055553	-0.811471512615737	-0.240532502453274	0.161560107268983	-0.110045916584901	-0.105902255059478	-0.0506277085184813	-0.175459062623369	-0.100799985977847	0.650749864411177	-0.126180962005218
"x46"	0.394081057032514	0.454549715249597	0.109901509254732	-0.09575830142233	-0.0457619908076604	0.774484220396263	0.0284142129042947	-0.84000505496479	-0.335411880066468	-0.109612829624581	-0.462360346088569	1.19919139317211	0.664272956912111	-0.932081517897975	-0.926537783384236	0.906932765641605	-0.784298126306629
"x47"	0.492258857391635	0.14951061578783	0.48077343507823	0.551844320019909	0.298155725282315	-0.18284550935933	0.551682627863962	0.5354097438089	0.526899348696258	0.321712258914002	-0.871202555994121	1.21338295971588	-0.892547198575715	-0.989673403117848	-0.912014384654921	-0.339085782262955	-0.934261058594038
"x48"	0.365901095660311	0.308248495476119	0.105885465596235	-0.0534658271513137	0.0968573805783162	-0.388502560533839	-0.262343458438396	-0.997257914000983	-0.432181322268483	-0.448398135816605	-0.883111862145007	0.851026631401141	0.515577035506826	1.00175475741368	-1.3121079023541	0.621457380958577	0.910660740117538
"x49"	0.129366111491146	0.303947100721693	0.0135703849665754	-0.0530314112716283	-0.0690037898292983	-0.329336251624045	-0.244017689603701	-0.893768796765013	-0.412421602924038	-0.203651068822566	0.917676617352535	0.203910541387052	0.643143084831933	-1.05635131682463	1.36640716526454	0.710019925217202	-1.02645900356774
"x50"	0.243464159999991	0.265780072309689	-0.184661315214503	-0.370353247735657	-0.0719175204292161	-0.40301066580686	-0.355787696737958	-1.27912736513144	-0.607429072912126	-0.451663385688379	-1.30555549266632	0.608323820911694	0.812502287862488	0.834226105334462	0.935668453887807	0.665204640562504	0.664336221453821
"x51"	0.261819450380098	0.317553944499733	-0.281459418581647	-0.320645992798116	0.139019482605438	0.00708685695161092	-0.434687546510058	-1.43132604890905	-0.675171927304953	-0.18037971656081	0.42577684486016	0.699795341079715	0.636620468656417	0.846085260200335	-1.65806182664904	0.866325539866149	0.781649288214013
"x52"	0.0489644455626805	-0.266601730689494	-0.030487901986321	-0.0553625459529957	-0.297977673722082	-0.381599482783077	0.250982425738727	0.216644064785444	0.365302461241693	0.429342087315283	0.322086562031145	-1.00656332682777	0.73551247508085	-1.00214349427809	-1.16608303986336	0.700892529294724	1.13709214505265
"x53"	0.61080479461716	0.612867579266777	0.555961982574348	0.463344964260658	0.702402136756183	0.400122207727595	0.370183274377955	-0.0490725734726289	0.18935810801991	0.00567991655265296	-0.50421314040565	-0.782226821912152	-0.750160436211154	-0.973272841728307	-1.02627679752065	1.12405294044952	-0.949555293352219
"x54"	0.0320030340037692	0.0123216908211091	-0.162874133724533	-0.347678308336748	-0.208669090502249	-0.035845924206633	-0.192852292586677	-1.02393639677744	-0.284247765441831	-0.217330634601903	2.07663343857207	-0.089039297318722	-0.0418813221216747	-0.182325373782283	0.231393676901668	0.24417472858758	0.190153970514503
"x55"	0.167244047358665	-0.0134578648144239	-0.152209139244866	-0.2135801290107	0.0830873640521675	-0.338927389541555	-0.120260134224324	-0.73689059314099	-0.230096829229059	-0.0602626668440116	0.581238431242159	0.746712540732014	-0.955761715523866	1.06482963701665	-1.33740882762322	0.726957681836944	0.788785586958417
"x56"	0.197915604159877	0.24253678573041	0.192716984444621	0.0758242305298591	-0.0256341092122901	-1.20776633586481	0.112760911937544	0.365732010126389	0.361929462306779	0.432191054982716	0.492827495435035	0.0356179248451763	0.112561953539748	0.721862028085932	-1.51303095738572	-1.24673461992024	0.648689576258962
"x57"	0.44529473360243	0.470074437681189	0.135500354543165	-0.0294860295257	0.139540295464318	0.127526752962998	0.018113128066672	-0.748900220476116	-0.238976809998948	-0.0517047278451842	0.920121771335977	1.08876462058064	-0.830863167342145	-0.776205416412523	-0.852341604367264	1.04473259862666	-0.861190716896181
